,Te,RHe,v_wind,ghi,Tw_e,Tw_h,Psat,rho_e,rho_h,kz,Q_ev,Q_conv,Q_lw,Q_sw,Q_sw_tr,Q_diff,bowen,deltaQ_epi,deltaQ_hyp
278,14.833333333333334,82.125,1.4416666666666667,142.16666666666666,18.38415630735255,6.354933957884323,2122.6705564528397,998.5138426041159,999.9310828687333,0.16254839537891777,64.53757838187624,13.089153286450166,96.71618218230178,130.79333333333332,38.841897166190726,0.09251935965651241,0.20281444725118358,-43.64209987695136,0.09251935965651241
279,16.1875,74.125,1.9500000000000002,157.125,18.337545222568473,6.361992427320967,2114.304653980507,998.525774394049,999.9309788841191,0.4060452804380678,73.14769534429942,14.835409398952063,88.62609206737949,144.555,42.928720461226625,0.229854720447113,0.20281444725118358,-32.28405153107809,0.229854720447113
280,13.708333333333334,88.41666666666667,2.1999999999999997,58.0,18.12163438671852,6.372144544019118,2108.1346713258754,998.5345730054411,999.9307200252687,0.5866274757347764,83.21799269146244,16.87781118907199,102.48038584203704,53.36,15.846401188551434,0.33059735718254357,0.20281444725118358,-149.54678707975404,0.33059735718254357
281,10.5625,89.66666666666667,0.9416666666666668,83.66666666666667,17.926644450240772,6.372962100273052,2079.759320837974,998.5750209176414,999.9303464118434,0.048150393547523096,77.81302895495651,15.781606456439848,118.41384498998023,76.97333333333334,22.85888907084144,0.026623200259316967,0.20281444725118358,-135.06177026830255,0.026623200259316967
282,14.333333333333334,95.0,1.5875000000000001,60.083333333333336,17.78593029940824,6.3769820671345006,2054.4213053561925,998.6111115796715,999.9303162578243,0.24077048243994167,46.311324325682165,9.39260564458352,96.91244491156108,55.27666666666667,16.415596633542506,0.130907664207401,0.20281444725118358,-97.4706158793675,0.130907664207401
283,13.333333333333334,93.5,0.775,52.958333333333336,17.636608221858936,6.377454296800122,2036.3044480347705,998.6368970427426,999.9301678443303,0.028642359092194983,41.87143800243221,8.492132554075491,101.7785887321017,48.72166666666667,14.468948211673043,0.015377856447889401,0.20281444725118358,-103.4358704783906,0.015377856447889401
284,12.987499999999999,93.0,1.0583333333333333,64.95833333333333,17.48852947401799,6.378685770797695,2017.2324444087365,998.6640212917281,999.9301503942703,0.07568688137559275,49.35526740124059,10.00996127691697,102.93373398256716,59.76166666666666,17.74751397482161,0.04010216088091593,0.20281444725118358,-102.57739815493898,0.04010216088091593
285,12.25,90.79166666666667,1.45,53.083333333333336,17.291549804896626,6.381912748550391,1998.4738832427738,998.6906762803266,999.930104872645,0.2009967908372222,65.65578132554816,13.315940998385631,106.21564131851797,48.83666666666667,14.503099938372507,0.10508445599463384,0.20281444725118358,-136.45578143177974,0.10508445599463384
286,9.458333333333334,86.16666666666667,1.1125,125.16666666666667,17.136836285164797,6.383405093149371,1973.757407277499,998.7257566231372,999.9299854799508,0.09465855378794734,85.03775094966511,17.24688445434014,120.00017617331126,115.15333333333334,34.197262335063584,0.048597236682080394,0.20281444725118358,-107.18007548066527,0.048597236682080394
287,10.0,80.95833333333333,1.3499999999999999,131.04166666666666,16.984023801013702,6.386123796229673,1954.5324918531685,998.7530067298566,999.9299302133772,0.17495072404124548,91.38412352076173,18.534020499397176,116.41764998123888,120.55833333333332,35.8023934899384,0.0885328025776718,0.20281444725118358,-105.86599347064215,0.0885328025776718
288,7.125,82.70833333333333,2.1708333333333334,72.29166666666667,16.648322526278836,6.397506279605859,1935.7049952622697,998.7796592983148,999.9298294454901,0.7432213706695658,140.04590139315252,28.40333208084599,130.26300385894663,66.50833333333334,19.751081941190186,0.37066315160914665,0.20281444725118358,-232.574567151221,0.37066315160914665
289,6.958333333333333,81.125,1.0083333333333333,92.125,16.41476181255161,6.398710007951968,1894.9012774141454,998.8372888701781,999.9294063642841,0.0812588809251807,97.37161845163315,19.748370974221125,129.41651467141648,84.75500000000001,25.16982257750519,0.039198612369660935,0.20281444725118358,-161.8207027096404,0.039198612369660935
290,11.041666666666666,80.41666666666667,0.5666666666666667,112.75,16.31775184232937,6.398927928943677,1866.9588938068528,998.8766329703351,999.9293615097143,0.015055780792635911,52.86868689696832,10.722533509904522,107.34692517437462,103.73,30.8048574829168,0.0070964517248729726,0.20281444725118358,-67.21524203297231,0.0070964517248729726
291,11.3125,85.16666666666667,0.7999999999999999,116.125,16.230802944396377,6.399554118578723,1855.4595020196482,998.8927925372718,999.9293533870152,0.04368642125510951,51.2418554982832,10.39258859900933,105.4253717580837,106.83500000000001,31.726954103802335,0.020391447582788932,0.20281444725118358,-60.24520730295902,0.020391447582788932
292,11.958333333333334,87.91666666666667,1.1916666666666667,108.04166666666667,16.140087239167798,6.401653864044739,1845.20552250141,998.9071850480814,999.9293300427474,0.14779465526224975,50.42757245483742,10.227440233646862,101.5310046032755,99.39833333333334,29.51847577723698,0.06837680825674596,0.20281444725118358,-62.856060766683186,0.06837680825674596
293,11.958333333333334,87.41666666666667,0.6124999999999999,114.16666666666667,16.078774329564546,6.401940135722685,1834.5602817532395,998.9221090610317,999.9292517219822,0.020341829831667973,38.59721821772116,7.828073478260429,101.08249373408714,105.03333333333335,31.19191038551073,0.009322245203458455,0.20281444725118358,-42.483774341938854,0.009322245203458455
294,12.458333333333334,85.58333333333333,0.6333333333333333,124.29166666666667,16.039017977230472,6.402259576418287,1827.3958944703422,998.9321425845275,999.9292410389381,0.022843238242622795,36.42688298817638,7.387898138330535,98.07064149785269,114.34833333333334,33.95820024816734,0.010402371907409527,0.20281444725118358,-27.547491662933666,0.010402371907409527
295,11.145833333333334,93.625,0.4375,72.16666666666667,15.922980990676326,6.40236433660293,1822.7634961750198,998.9386254778152,999.9292291166602,0.007522565970377232,34.80039840079494,7.058023565778199,104.93496947879143,66.39333333333335,19.716930214490727,0.0034114450780825894,0.20281444725118358,-80.4034695571093,0.0034114450780825894
296,9.333333333333334,92.41666666666667,1.9708333333333334,41.75,15.670775756774267,6.412126473965494,1809.3017012863954,998.9574433863434,999.9292252064337,0.7095459979113268,82.30937997914955,16.693531404058852,113.8486230250509,38.410000000000004,11.406676717621076,0.31789744777916745,0.20281444725118358,-174.75943185603847,0.31789744777916745
